owner_login,path,pushed_at,ssh_url,project_url,default_branch
kb-rahul,kb-rahul/CourseProject,2021-11-15 16:14:57,git@github.com:kb-rahul/CourseProject.git,https://github.com/kb-rahul/CourseProject,main
kcen14,kcen14/CourseProject,2021-11-15 02:08:48,git@github.com:kcen14/CourseProject.git,https://github.com/kcen14/CourseProject,main
nmohiu6,nmohiu6/CourseProject,2021-12-07 04:12:14,git@github.com:nmohiu6/CourseProject.git,https://github.com/nmohiu6/CourseProject,main
AShipway,AShipway/CourseProject,2021-11-15 19:49:56,git@github.com:AShipway/CourseProject.git,https://github.com/AShipway/CourseProject,main
tonymuu,tonymuu/CourseProject,2021-12-07 05:50:33,git@github.com:tonymuu/CourseProject.git,https://github.com/tonymuu/CourseProject,main
waelmb,waelmb/Results-Caching-System,2021-12-06 21:40:22,git@github.com:waelmb/Results-Caching-System.git,https://github.com/waelmb/Results-Caching-System,main
kristina2018,kristina2018/CourseProject,2021-11-18 01:05:16,git@github.com:kristina2018/CourseProject.git,https://github.com/kristina2018/CourseProject,main
siswara,siswara/MedRecommendExt,2021-12-07 04:14:57,git@github.com:siswara/MedRecommendExt.git,https://github.com/siswara/MedRecommendExt,main
pehartma,pehartma/CourseProject,2021-12-07 02:19:39,git@github.com:pehartma/CourseProject.git,https://github.com/pehartma/CourseProject,main
BillyZhaohengLi,BillyZhaohengLi/PLSAprior,2021-12-05 08:49:49,git@github.com:BillyZhaohengLi/PLSAprior.git,https://github.com/BillyZhaohengLi/PLSAprior,main
mersaults,mersaults/CourseProject,2021-11-16 02:55:30,git@github.com:mersaults/CourseProject.git,https://github.com/mersaults/CourseProject,main
xihec3,xihec3/CS410_CourseProject,2021-12-07 19:42:03,git@github.com:xihec3/CS410_CourseProject.git,https://github.com/xihec3/CS410_CourseProject,main
LunaMystic,LunaMystic/CourseProject,2021-12-07 00:40:51,git@github.com:LunaMystic/CourseProject.git,https://github.com/LunaMystic/CourseProject,main
madstommy,madstommy/CourseProject,2021-11-15 17:26:25,git@github.com:madstommy/CourseProject.git,https://github.com/madstommy/CourseProject,main
chaarud,chaarud/CourseProject,2021-11-14 04:03:48,git@github.com:chaarud/CourseProject.git,https://github.com/chaarud/CourseProject,main
tajshaik24,tajshaik24/CourseProject,2021-11-15 18:57:14,git@github.com:tajshaik24/CourseProject.git,https://github.com/tajshaik24/CourseProject,main
duadua9,duadua9/CourseProject,2020-12-14 03:29:45,git@github.com:duadua9/CourseProject.git,https://github.com/duadua9/CourseProject,main
iluvcomputers,iluvcomputers/CourseProject,2021-12-07 20:32:38,git@github.com:iluvcomputers/CourseProject.git,https://github.com/iluvcomputers/CourseProject,main
tonydfth,tonydfth/CourseProject,2021-11-16 05:03:53,git@github.com:tonydfth/CourseProject.git,https://github.com/tonydfth/CourseProject,main
Reynold-Chan,Reynold-Chan/CourseProject,2021-12-06 06:09:47,git@github.com:Reynold-Chan/CourseProject.git,https://github.com/Reynold-Chan/CourseProject,main
jialen2,jialen2/CourseProject,2021-12-05 09:57:50,git@github.com:jialen2/CourseProject.git,https://github.com/jialen2/CourseProject,main
Giang-nguyen,Giang-nguyen/CourseProject,2021-12-07 15:40:12,git@github.com:Giang-nguyen/CourseProject.git,https://github.com/Giang-nguyen/CourseProject,main
zhihaox3,zhihaox3/CourseProject,2021-11-15 18:48:20,git@github.com:zhihaox3/CourseProject.git,https://github.com/zhihaox3/CourseProject,main
Sushanta77,Sushanta77/CourseProject,2021-12-07 17:14:57,git@github.com:Sushanta77/CourseProject.git,https://github.com/Sushanta77/CourseProject,main
kikibean,kikibean/CourseProject,2021-11-15 14:12:51,git@github.com:kikibean/CourseProject.git,https://github.com/kikibean/CourseProject,main
quickcatch,quickcatch/CourseProject,2021-12-06 20:00:00,git@github.com:quickcatch/CourseProject.git,https://github.com/quickcatch/CourseProject,main
kaiyuandou,kaiyuandou/CourseProject,2021-11-16 04:27:53,git@github.com:kaiyuandou/CourseProject.git,https://github.com/kaiyuandou/CourseProject,main
snehangshugithub,snehangshugithub/CourseProject,2021-11-16 04:50:42,git@github.com:snehangshugithub/CourseProject.git,https://github.com/snehangshugithub/CourseProject,main
arhamahmed,arhamahmed/CourseProject,2021-12-05 01:50:34,git@github.com:arhamahmed/CourseProject.git,https://github.com/arhamahmed/CourseProject,main
GregHarrison,GregHarrison/CourseProject,2021-11-24 06:09:20,git@github.com:GregHarrison/CourseProject.git,https://github.com/GregHarrison/CourseProject,main
liam-p-23,liam-p-23/CourseProject,2021-11-15 00:38:25,git@github.com:liam-p-23/CourseProject.git,https://github.com/liam-p-23/CourseProject,main
LahariP2,LahariP2/Movies4U,2021-12-07 02:23:45,git@github.com:LahariP2/Movies4U.git,https://github.com/LahariP2/Movies4U,main
manuv3,manuv3/cs410-project,2021-12-07 20:18:10,git@github.com:manuv3/cs410-project.git,https://github.com/manuv3/cs410-project,main
sdgs72,sdgs72/CourseProject,2021-12-06 21:29:00,git@github.com:sdgs72/CourseProject.git,https://github.com/sdgs72/CourseProject,main
rycao,rycao/CourseProject,2021-12-05 19:24:59,git@github.com:rycao/CourseProject.git,https://github.com/rycao/CourseProject,main
Zetmas,Zetmas/CourseProject,2021-12-07 04:32:44,git@github.com:Zetmas/CourseProject.git,https://github.com/Zetmas/CourseProject,main
t1tb,t1tb/CourseProject,2021-12-07 06:43:02,git@github.com:t1tb/CourseProject.git,https://github.com/t1tb/CourseProject,main
sanjibg01,sanjibg01/CS410-project-team-trailblazers,2021-12-07 00:52:45,git@github.com:sanjibg01/CS410-project-team-trailblazers.git,https://github.com/sanjibg01/CS410-project-team-trailblazers,main
Jonathan-Birkey,Jonathan-Birkey/CourseProject,2021-12-02 17:56:58,git@github.com:Jonathan-Birkey/CourseProject.git,https://github.com/Jonathan-Birkey/CourseProject,main
mrcstan,mrcstan/CourseProject,2021-11-16 05:03:59,git@github.com:mrcstan/CourseProject.git,https://github.com/mrcstan/CourseProject,main
lynn0032,lynn0032/CourseProject,2021-11-28 01:28:42,git@github.com:lynn0032/CourseProject.git,https://github.com/lynn0032/CourseProject,main
sgangele21,sgangele21/CourseProject,2021-12-07 05:25:40,git@github.com:sgangele21/CourseProject.git,https://github.com/sgangele21/CourseProject,main
pipipiii,pipipiii/CourseProject,2021-12-06 08:50:58,git@github.com:pipipiii/CourseProject.git,https://github.com/pipipiii/CourseProject,main
asadiku,asadiku/CourseProject,2021-12-06 03:14:31,git@github.com:asadiku/CourseProject.git,https://github.com/asadiku/CourseProject,main
mccho3,mccho3/CourseProject,2021-11-30 07:49:28,git@github.com:mccho3/CourseProject.git,https://github.com/mccho3/CourseProject,main
ShaleenMehrotra,ShaleenMehrotra/CourseProject,2021-11-15 19:29:26,git@github.com:ShaleenMehrotra/CourseProject.git,https://github.com/ShaleenMehrotra/CourseProject,main
lowelltyner,lowelltyner/CourseProject,2021-11-11 16:46:39,git@github.com:lowelltyner/CourseProject.git,https://github.com/lowelltyner/CourseProject,main
xiaofanliu77,xiaofanliu77/CourseProject,2021-12-07 05:19:01,git@github.com:xiaofanliu77/CourseProject.git,https://github.com/xiaofanliu77/CourseProject,main
ZacharyOldham,ZacharyOldham/CourseProject,2021-12-07 00:21:31,git@github.com:ZacharyOldham/CourseProject.git,https://github.com/ZacharyOldham/CourseProject,main
jessicahuang523,jessicahuang523/CourseProject,2021-11-16 02:04:53,git@github.com:jessicahuang523/CourseProject.git,https://github.com/jessicahuang523/CourseProject,main
JosephineFalso,JosephineFalso/CourseProject,2021-12-07 19:08:13,git@github.com:JosephineFalso/CourseProject.git,https://github.com/JosephineFalso/CourseProject,main
amyyq2,amyyq2/CourseProject,2021-12-07 03:56:54,git@github.com:amyyq2/CourseProject.git,https://github.com/amyyq2/CourseProject,main
chriistinahu,chriistinahu/CourseProject,2020-12-14 03:29:45,git@github.com:chriistinahu/CourseProject.git,https://github.com/chriistinahu/CourseProject,main
dattatreya303,dattatreya303/CourseProject,2021-11-16 01:38:05,git@github.com:dattatreya303/CourseProject.git,https://github.com/dattatreya303/CourseProject,main
zhanz1,zhanz1/Course-Information-Retrieval,2021-12-06 07:28:57,git@github.com:zhanz1/Course-Information-Retrieval.git,https://github.com/zhanz1/Course-Information-Retrieval,main
rudyrath,rudyrath/CourseProject,2021-11-14 21:10:07,git@github.com:rudyrath/CourseProject.git,https://github.com/rudyrath/CourseProject,main
Shivang44,Shivang44/CourseProject,2021-11-30 02:59:46,git@github.com:Shivang44/CourseProject.git,https://github.com/Shivang44/CourseProject,main
shchau2,shchau2/Linked-Page-Search-Chrome-Extension,2021-12-07 19:01:14,git@github.com:shchau2/Linked-Page-Search-Chrome-Extension.git,https://github.com/shchau2/Linked-Page-Search-Chrome-Extension,main
R2Lin,R2Lin/CourseProject,2021-11-28 18:00:22,git@github.com:R2Lin/CourseProject.git,https://github.com/R2Lin/CourseProject,main
swatinanda,swatinanda/CS410-Fall2021-TeamAlpha,2021-12-07 18:44:40,git@github.com:swatinanda/CS410-Fall2021-TeamAlpha.git,https://github.com/swatinanda/CS410-Fall2021-TeamAlpha,main
Pradoshks,Pradoshks/CourseProject,2021-11-23 02:02:53,git@github.com:Pradoshks/CourseProject.git,https://github.com/Pradoshks/CourseProject,main
jasonzjc,jasonzjc/CourseProject,2021-11-16 00:40:07,git@github.com:jasonzjc/CourseProject.git,https://github.com/jasonzjc/CourseProject,main
ramyan2,ramyan2/CourseProject,2021-11-15 18:15:37,git@github.com:ramyan2/CourseProject.git,https://github.com/ramyan2/CourseProject,main
ottopiramuthu,ottopiramuthu/CourseProject,2021-11-14 21:27:39,git@github.com:ottopiramuthu/CourseProject.git,https://github.com/ottopiramuthu/CourseProject,main
bllguo,bllguo/CourseProject,2021-12-05 02:09:13,git@github.com:bllguo/CourseProject.git,https://github.com/bllguo/CourseProject,main
timothycheung1,timothycheung1/CourseProject,2021-11-14 06:08:26,git@github.com:timothycheung1/CourseProject.git,https://github.com/timothycheung1/CourseProject,main
jairmorais,jairmorais/CourseProject,2021-11-16 00:19:07,git@github.com:jairmorais/CourseProject.git,https://github.com/jairmorais/CourseProject,main
sudiptobilu,sudiptobilu/CourseProject,2021-12-07 20:34:29,git@github.com:sudiptobilu/CourseProject.git,https://github.com/sudiptobilu/CourseProject,main
bhullar5,bhullar5/CourseProject,2021-11-13 08:04:08,git@github.com:bhullar5/CourseProject.git,https://github.com/bhullar5/CourseProject,main
xinqianx,xinqianx/CourseProject,2021-12-07 17:20:54,git@github.com:xinqianx/CourseProject.git,https://github.com/xinqianx/CourseProject,main
justynlao,justynlao/CourseProject,2021-11-16 04:30:28,git@github.com:justynlao/CourseProject.git,https://github.com/justynlao/CourseProject,main
zhuxiaoyu909,zhuxiaoyu909/CourseProject,2021-12-07 03:33:42,git@github.com:zhuxiaoyu909/CourseProject.git,https://github.com/zhuxiaoyu909/CourseProject,main
periclesrocha,periclesrocha/CourseProject,2021-12-07 19:07:06,git@github.com:periclesrocha/CourseProject.git,https://github.com/periclesrocha/CourseProject,main
bayarra,bayarra/spacy.lang.mn,2021-11-15 21:03:13,git@github.com:bayarra/spacy.lang.mn.git,https://github.com/bayarra/spacy.lang.mn,main
naviCh,naviCh/CourseProject,2021-12-07 17:40:51,git@github.com:naviCh/CourseProject.git,https://github.com/naviCh/CourseProject,main
dabadabadoue,dabadabadoue/CourseProject,2021-12-02 22:23:19,git@github.com:dabadabadoue/CourseProject.git,https://github.com/dabadabadoue/CourseProject,main
RBmint,RBmint/CourseProject,2021-11-15 02:26:20,git@github.com:RBmint/CourseProject.git,https://github.com/RBmint/CourseProject,main
Ben-Sutter,Ben-Sutter/IntelligentBrowsingPaulBen,2021-11-23 21:03:28,git@github.com:Ben-Sutter/IntelligentBrowsingPaulBen.git,https://github.com/Ben-Sutter/IntelligentBrowsingPaulBen,main
aruther11,aruther11/CourseProject,2021-11-15 03:58:38,git@github.com:aruther11/CourseProject.git,https://github.com/aruther11/CourseProject,main
jaskirat-singh-pahwa,jaskirat-singh-pahwa/CourseProject,2021-12-07 14:30:00,git@github.com:jaskirat-singh-pahwa/CourseProject.git,https://github.com/jaskirat-singh-pahwa/CourseProject,main
awang288,awang288/CourseProject,2021-12-07 05:15:07,git@github.com:awang288/CourseProject.git,https://github.com/awang288/CourseProject,main
qiangni-gif,qiangni-gif/CourseProject,2021-11-16 00:46:13,git@github.com:qiangni-gif/CourseProject.git,https://github.com/qiangni-gif/CourseProject,main
styloooo,styloooo/CourseProject,2021-12-07 20:36:04,git@github.com:styloooo/CourseProject.git,https://github.com/styloooo/CourseProject,main
amyth18,amyth18/CourseProject,2021-12-07 18:54:14,git@github.com:amyth18/CourseProject.git,https://github.com/amyth18/CourseProject,main
kaf4,kaf4/CourseProject,2021-11-15 23:20:46,git@github.com:kaf4/CourseProject.git,https://github.com/kaf4/CourseProject,main
amelia2801,amelia2801/CourseProject,2021-12-07 05:08:57,git@github.com:amelia2801/CourseProject.git,https://github.com/amelia2801/CourseProject,main
jpjun8,jpjun8/CourseProject,2021-11-16 05:57:25,git@github.com:jpjun8/CourseProject.git,https://github.com/jpjun8/CourseProject,main
gmotzespina,gmotzespina/CourseProject,2021-11-14 20:07:13,git@github.com:gmotzespina/CourseProject.git,https://github.com/gmotzespina/CourseProject,main
maatjes2,maatjes2/CourseProject,2021-12-07 18:33:15,git@github.com:maatjes2/CourseProject.git,https://github.com/maatjes2/CourseProject,main
maaparna,maaparna/CourseProject,2021-12-07 12:39:00,git@github.com:maaparna/CourseProject.git,https://github.com/maaparna/CourseProject,main
jhinukb,jhinukb/CourseProject,2020-12-14 03:29:45,git@github.com:jhinukb/CourseProject.git,https://github.com/jhinukb/CourseProject,main
yuchen9902,yuchen9902/CourseProject,2021-12-06 17:11:34,git@github.com:yuchen9902/CourseProject.git,https://github.com/yuchen9902/CourseProject,main
saketv2,saketv2/CourseProject,2021-12-06 05:37:18,git@github.com:saketv2/CourseProject.git,https://github.com/saketv2/CourseProject,main
aishanipal,aishanipal/GithubCommentsSentimentAnalysis,2021-12-06 23:47:37,git@github.com:aishanipal/GithubCommentsSentimentAnalysis.git,https://github.com/aishanipal/GithubCommentsSentimentAnalysis,main
winston86zhu,winston86zhu/UserSentimentAnalysis,2021-12-07 05:43:12,git@github.com:winston86zhu/UserSentimentAnalysis.git,https://github.com/winston86zhu/UserSentimentAnalysis,main
muneshb,muneshb/CourseProject,2021-12-01 23:20:27,git@github.com:muneshb/CourseProject.git,https://github.com/muneshb/CourseProject,main
paulzuradzki,paulzuradzki/CourseProject,2020-12-14 03:29:45,git@github.com:paulzuradzki/CourseProject.git,https://github.com/paulzuradzki/CourseProject,main
dyang5200,dyang5200/CourseProject,2021-12-01 09:36:16,git@github.com:dyang5200/CourseProject.git,https://github.com/dyang5200/CourseProject,main
andrewson3107,andrewson3107/CourseProject,2021-11-16 03:44:38,git@github.com:andrewson3107/CourseProject.git,https://github.com/andrewson3107/CourseProject,main
shaukat2,shaukat2/CourseProject,2021-11-17 23:56:28,git@github.com:shaukat2/CourseProject.git,https://github.com/shaukat2/CourseProject,main
nasa-petal,nasa-petal/search-engine,2021-12-07 20:32:39,git@github.com:nasa-petal/search-engine.git,https://github.com/nasa-petal/search-engine,main
bids3,bids3/CourseProject,2021-11-16 03:33:55,git@github.com:bids3/CourseProject.git,https://github.com/bids3/CourseProject,main
KefanChen0719,KefanChen0719/CourseProject,2021-12-07 19:35:54,git@github.com:KefanChen0719/CourseProject.git,https://github.com/KefanChen0719/CourseProject,main
